id,sub_category,branch,name,description,module_type,exclusive_ids,hybrids,timePeriod,module_content_type,module_type_index,image_url,price,bonus,penalty,specialFunctions,blockIds,enableIds,comboBonusIds,authorshipPercent
15,Limits on Power,Executive Amendments,Upplýsingaskylda um fjárhag: Þjóðhöfðingi,"Áður en þjóðhöfðingi tekur við embætti þarf hann/hún að veita upplýsingar um fjárhag sinn sem eru opnar almenningi. Þetta varðar tekjur, skuldir og eignir. Gera má sömu kröfu um upplýsingar um fjárhag fjölskyldumeðlima.",,,,Modern/Contemporary,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/4.png,5,"High Progrevissim, High law and order","High Privacy
",,,,,2
16,Limits on Power,Executive Amendments,Bann við gjöfum,Þjóðhöfðingi má ekki þiggja gjafir af neinu tagi frá erlendum aðilum sem gætu viljað nýta slíkar gjafir til að hafa áhrif á þær ákvarðanir í utanríkismálum sem kunna að heyra undir þjóðhöfðingjann.,Simple,,,Early Modern,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/7.png,5,"High Independence,High Law and Order","High Privacy
","Blocked by King, High Priest",,,,3
17,Limits on Power,Executive Amendments,Reglur um lobbíisma: Þjóðhöfðingi,Sé þjóðhöfðingja ætlað raunverulegt vald og ábyrgð í stjórnskipan gilda sambærilegar reglur um samskipti hans/hennar við hagsmunaaðila og um tengsl ráðherra við slíka aðila. Nákvæmt bókhald og krafa um að geta staðið reikningsskil slíkra samskipta þegar þess er krafist. ,Simple,,,Modern/Contemporary,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/5.png,5,"High Progrevissim, High law and order","Low law and order, High Privacy",,,,,3
18,Powers,Executive Amendments,Tilskipanir/konungsbréf: Þjóðhöfðingi,Þjóðhöfðingi hefur vald til að gefa út tilskipanir eða fyrirmæli sem hafa lagagildi á meðan embættistími þjóðhöfðingjans varir.,Simple,,,Ancient,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/ancient/1.png,10,"High Authority,High Independence,High law and order","High Collectivism,High Progressivism",,,,,5
19,Powers,Executive Amendments,Bráðabirgðalög: Þjóðhöfðingi,Þjóðhöfðingi getur gefið út tilskipanir og bráðabirgðalög t.d þegar þingið starfar ekki.,Simple,,,Early Modern,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/8.png,5,"High Authority, High Independence","High Liberty,High Collectivism",,,,,3
20, Powers - Theocracy,Executive Amendments,Trúarlegt vald: Þjóðhöfðingi,Þjóðhöfðingi er líka trúarleiðtogi og tilskipanir hans og fyrirmæli hafa bæði trúarlega og lagalega merkingu í samfélaginu.,Simple,,,Ancient,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/ancient/2.png,20,"High Authority,High Tradition,Low Privacy,Low Progressivism","High Science,High Liberty",Additional bonus in combo with High Priest,,,,3
21,"Powers
",Executive Amendments,Stjórn skattamála: Þjóðhöfðingi,Þjóðhöfðingi hefur lokaorðið um tekjuöflun ríkisins. Þetta þýðir að hann/hún ákveður skattaálögur og tekur sömuleiðis ákvarðanir um dreifingu fjár og sömuleiðis meðferð skulda og taps. Þetta er stundum kallað „budduvald“.,Delegated, ,"17,60",Early Modern,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/9.png,10,"High Authority,High Tradition,High law and order","High Liberty,High Collectivism",,,,,3
22,Powers,Exectutive Amendments,Stjórn fjárlaga: Þjóðhöfðingi,Þjóðhöfðingi hefur lokaorðið um fjárlög Þingið og ríkisstjórnin geta ekki samþykkt fjárlög án samþykkis frá þjóðhöfðingja.,Delegated,,,Ancient,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/ancient/3.png,5,"High Authority, Low Progressivism","High Progressivism, High Collectivism",,,,,3
23,Powers,Exectutive Amendments,Skipun/brottrekstur embættismanna: Þjóðhöfðingi,Þjóðhöfðingi hefur samkvæmt þessu ákvæði það hlutverk að skipa helstu embættismenn og víkja þeim úr starfi. Þetta færir forsetanum lykilhlutverk í stjórnmálum jafnvel þótt embættið sé ekki beinn hluti af löggjafar- eða stjórnsýsluferlum.,Simple,,,Modern/Contemporary,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/6.png,5,"High Authority, Population < 1M","High Progressivism, High Collectivism",,,,,5
24,Powers,Executive Amendments,Staðfesting á lögum: Þjóðhöfðingi,"Áður en lög taka gildi þarf þjóðhöfingi að undirrita þau. Þetta getur þýtt að hann geti stöðvað lagasetningu, nema stjórnarskráin innihaldi ákvæði sem kveða á um annað.",Simple,,,Early Modern,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/10.png,5,"High law and order, High Tradition",High Progressivisim,,,,,3
25,Powers,Executive Amendments,Stjórn yfir her: Ríkisstjórn,Ríkisstjórnin hefur borgaralegt eftirlit með varnarsveitum ríkisins og her (ef her er starfandi).,Delegated,,"18,61",Early Modern,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/11.png,10,"High Authority,High Tradition,High Independence","High Liberty,High Collectivism",,,,,3
26,Powers,Executive Amendments,Stjórn yfir alþjóðlegum samskiptum: Þjóðhöfðingi,"Þjóðhöfðinginn fer með samningsvald fyrir hönd ríkisins og sér um að skipta sendiherra erlendis, viðskiptasamninga og opin samskipti við nágrannaríki og bandamenn á alþjóðlegum vettvangi.",Delegated,,"19,62",Early Modern,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/12.png,10,"High Authority,High Tradition",High Independence,,,,,3
27,Powers,Executive Amendments,Réttur til að lýsa yfir stríði: Þjóðhöfðingi,Þjóðhöfðingi hefur vald til að hefja stríðsaðgerðir og lýsa yfir stríði á hendur annarri þjóð.,Delegated,,"20,63",Early Modern,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/14.png,10,"High Authority,High law and order","High Progressivism,High Collectivism",,,,,3
28,Powers,Executive Amendments,Gerð samninga: Þjóðhöfðingi,Þjóðhöfðingi fer með fullveldið og tekur ákvarðanir um framsal þess eftir því sem við á. Hann gerir samninga við alþjóðastofnanir og önnur ríkiog ber ábyrð á þeim enda getur aðeins æðsta yfirvald hvers ríkis tekið ákvarðanir um framsal valds.,Delegated,,"21,64",Early Modern,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/15.png,10,"High Independence,High law and order
","High Progressivism,High Collectivism",,,,,3
29,Powers,Executive Amendments,Yfirstjórn lögreglu: Ríkisstjórn,Ríkisslögregla skal starfa á vegum framkvæmdarvaldsins sem hefur yfirumsjón með öllum lögregluumdæmum landsins og fer sömuleiðis með saksóknarvald. ,Delegated,,"22,96",Modern/Contemporary,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/7.png,10,"High Authority,High law and order
","High Progressivism,High Liberty,High Collectivism",,,,,3
30,Executive Authority,Executive Amendments,Framkvæmdarvald: Víðtækt og sterkt,Þjóðhöfðingi eða ríkisstjórn mótar stefnu án mikilla afskipta löggjafa eða dómstóla.,Exclusive,"30,31,32",,Ancient,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/ancient/4.png,5,"High Authority, High law and order, High Independence, Low Progressivism","High Progressivism, Low law and order, Low Authority",,,,,2
31,Executive Authority,Executive Amendments,Framkvæmdarvald: Mótað af tæknihyggju,Ráðherrar og helstu embættismenn móta stefnu á faglegum forsendum en forðast hugmyndafræðileg áhrif. Sérfræðingar leika stórt hlutverk í að meta aðgerðir stjórnvalda.,Exclusive,"30,31,32",,Futurist,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/future/28.png,5,"High Science, Medium Collectivism, Medium law and order, Medium Authority","High Tradition, High Independence",,,,,2
32,Executive Authority,Executive Amendments,Framkvæmdarvald: Háð þingmeirihluta,Ríkisstjórnin er háð meirihluta á þingi og verður að vinna alla stefnumótun og helstu ákvarðanir með þinginu. Aðgerðir stjórnvalda þurfa alltaf að hvíla á skýrum lagaheimildum.,Exclusive,"30,31,32",,Early Modern,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/16.png,5,"HIgh Collectivism, High Progressivism, Medium Science",,,,,,2
33,Executive Authority,Executive Amendments,Friðhelgi: Þjóðhöfðingi,Þjóðhöfðingi nýtur friðhelgi og verður ekki sóttur til saka á meðan hann/hún gegnir embætti.,Simple,,,Early Modern,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/17.png,5,"High Authority, High Tradition","High Progressivism, High law and order",,,,,3
34,Executive Authority,Executive Amendments,Þinglausn: Þjóðhöfðingi,Þjóðhöfðingi getur rofið þing.,Simple,,,Early Modern,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/18.png,10,"High Authority, High Independence","High Progressism, High Collectivism",,,,,3
35,Head of State Selection,Executive Amendments,Þjóðhöfðingi: Þjóðkjörinn,Þjóðhöfðingi er þjóðkjörinn til eins kjörtímabils í senn. Það geta verið takmörk á því hve lengi sami þjóðhöfðingi getur setið í embætti.,Exclusive,"35,36,37",,Modern/Contemporary,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/8.png,2,"Medium Progressivism, Medium Tradition, Medium Science",,,,,,2
36,Head of State Selection,Executive Amendments,Þjóðhöfðingi: Kosinn á þingi,Þjóðhöfðingi er kosinn af löggjafarsamkundunni.,Exclusive,"35,36,37",,Early Modern,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/19.png,2,"High collectivism, Medium Progressivism","High Liberty, High Progressivism",,,,,3
37,Head of State Selection,Executive Amendments,Þjóðhöfðingi: Erfðaréttur,"Þjóðhöfðinginn er ekki tengdur hinu pólitíska valdi, en getur samt haft ákvaðið pólitískt hlutverk.",Exclusive,"35,36,37",,Ancient,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/ancient/5.png,2,High Tradition,"High Science, High Progressivism",,,,,3
38,,,Ríkisstjórn: Mynduð af meirihluta á löggjafarsamkundu,"Þegar forsæitsráðherra stýrir ríkisstjórn, sem mynduð er á grundvelli meirihluta á þingi, geta þingflokkar líka ráðið því hvernig stjórnin er samsett. Þetta styrkir ríkisstjórnina og eykur líkur á samhæfðu starfi sem er að mestu laust við átök.",Simple,,,Early Modern,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/20.png,10,"High Collectivism, Medium Tradition","High Progressivisim, High Liberty",,,,,5
39,,,Forsætisráðherra: Tilnefndur af þjóðhöfðingja,Þjóðhöfðingi getur haft hlutverk í stjórnarmyndun þar sem þingræði ríkir jafnvel þótt hann/eða hún stýri ekki ríkisstjórn. Með því að ákveða hver úr hópi pólitískra leiðtoga á þingi fær umboð til að mynda ríkisstjórn getur þjóðhöfðingi haft áhrif á hverskonar ríkisstjórn er mynduð eftir þingkosningar.,Exclusive,"39,40,41",,Modern/Contemporary,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/9.png,10,"High Authority, Hight Tradition","High Progressivism, High Collectivism, High Liberty",,,,,5
40,,,Forsætisráðherra: Þjóðkjörinn,"Víða þykir mikilvægt að sá serm stýrir ríkisstjórn sé ótengdur löggjafanum og geti haldið talsverður sjálfstæði frá honum, jafnvel þótt ríkisstjórnin sé háð stuðningi meirihluta á þingi. Bein kosning forsætisráðherra eða jafngilds embættismanns er ágæt leið til að stuðla að þessu.",Exclusive,"39,40,41",,Modern/Contemporary,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/10.png,5,"High Progressivism, High Liberty",High Tradition,,,,,3
41,,,Forsætisráðherra: Kosinn af þingi,"Í þingræðisríki þar sem þing getur rekið forsætisráðherra úr embætti með því að lýsa yfir vantrausti, getur verið við hæfi að haga málum svo að forsætisráðherrann sé einnig kosinn af þinginu. Slíkt fyrirkomulag gerir ljóst að forsætisráðherrann þarf einnig að þjóna stofnun sem þiggur völd sín beint af fólkinu í þingkosningum.",Exclusive,"39,40,41",,Modern/Contemporary,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/11.png,5,"High Authority, High Collectivism",High Progressivism,,,,,3
42,,,Skipun/brottrekstur embættismanna: Ráðherrar,Ráðherrar skipa embættismenn á þeim sviðum sem undir þá heyra og þurfa ekki að sæta afskiptum þings af slíku.,Simple,,,Modern/Contemporary,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/12.png,5,"High Authority, High Collectivism",High Liberty,,,,,3
43,,,Gerð samninga: Ríkisstjórn,Ríkisstjórnin ber alfarið ábyrgð á alþjóðlegum samningum. Þetta veitir henni líka heimild til að framseljavald til annarraríkja eða alþjóðlegra stofnana eftir því sem metið er hentugt hverju sinni.,Simple,,,Early Modern,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/21.png,5,"High Authority, High Independence","High Liberty, High Hostility with Neighbors",,,,,3
44,,,Trúarlegt vald: Ríkisstjórn,Í ríki þar sem trúarlegar stofnanir hafa mikil inngrip í líf fólks getur trúarlegt vald og veraldlegt vald ríkisstjórnar tengst með ýmsum hætti. Leiðtogi ríkisstjórnar gæti til dæmis þurft að vera úr hópi trúarlegra leiðtoga.,Simple,,,Ancient,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/ancient/6.png,5,"High Authority, High Tradition","High Progressivisim, High Liberty",,,,,3
45,,,Dómsvald: Ríkisstjórn,Dómsvaldið er selt undir ríkisstjórnina sem getur kveðið upp úrskurði þvert ofan í dóma. Ekki aðeins saksóknarar heldur einnig dómarar eru undir framkvæmdarvaldinu.,Exclusive,"45,46",,Ancient,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/ancient/8.png,10,"High Authority, High Tradition","High Progressivisim, High Liberty",,,,,5
46,,,Dómsvald: Þjóðhöfðingi,Þjóðhöfðingi getur fellt dóma úr gildi.,Exclusive,"45,46",,Ancient,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/ancient/9.png,10,"High Authority, High Tradition","High Progressivism, High Collectivism, High Liberty",,,,,3
47,,,Stjórn skattamála: Ríkisstjórn,Ríkisstjórnin hefur lokaorðið um tekjuöflun ríkisins. Þetta þýðir að ríkisstjórnin ákveður skattaálögur og tekur sömuleiðis ákvarðanir um dreifingu fjár og sömuleiðis meðferð skulda og taps. Þetta er stundum kallað „budduvald“.,Simple,,,Early Modern,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/22.png,10,"High Authority, High Tradition","High Collectivism, High Progressivism",,,,,5
48,,,Stjórn fjárlaga: Ríkisstjórn,Ríkisstjórnin ber ábyrgð á ríkisfjármálum. Þingið hefur annað hvort aðeins ráðgjafahlutverk eða ekkert hlutverk í ákvörðunum um fjárlög.,Simple,,,Early Modern,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/23.png,8,High Collectivism,High Progressivism,,,,,5
49,,,Bráðabirgðalög: Ríkisstjórn,Ríkisstjórnin getur gefið út bráðabirgðalög ef þingið er í fríi eða ekki starfandi af öðrum orsökum.,Simple,,,Modern/Contemporary,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/13.png,8,"High Authority, High Collectivism","High Progressivism, High Liberty",,,,,5
50,,,Stjórn yfir her: Ríkisstjórn,Ríkisstjórnin hefur borgaralegt eftirlit með varnarsveitum ríkisins og her (ef her er starfandi).,Simple,,,Modern/Contemporary,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/14.png,5,"High Authority, High Tradition",High Liberty,,,,,3
51,,,Stjórn yfir alþjóðlegum samskiptum: Ríkisstjórn,"Ríkisstjórnin fer með samningsvald fyrir hönd ríkisins og sér um að skipta sendiherra erlendis, viðskiptasamninga og opin samskipti við nágrannaríki og bandamenn á alþjóðlegum vettvangi.",Simple,,,Modern/Contemporary,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/15.png,5,High Collectivism,High Independence,,,,,5
52,,,Þinglausn: Forsætisráðherra,Forsætisráðherra getur rofið þing af hvaða ástæðu sem er og þarf ekki að fá samþykki þjóðhöfðingja til þess að gera það.,Simple,,,Early Modern,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/24.png,5,"High Authority, High Tradition","High Progressivism, High Collectivism",,,,,8
53,,,Aldursskilyrði: Ráðherrar,Til að geta gegnt embætti ráðherra þarf fólk að hafa ná vissum aldri – hærri en kosningaaldri svo tryggt sé að ráðherrar búi yfir vissri lífsreynslu.,Simple,,,Early Modern,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/25.png,5,"High Tradition, High Science",High Liberty,,,,,2
54,,,Reglur um lobbíisma: Ríkisstjórn,Til að koma í veg fyrir að ríkisstjórn sé undir of miklum áhrifum frá sérhagsmunahópum setur stjórnarskráin reglur sem takmark með skýrum hætti hagsmunavörslu (lobbíisma) af hálfu einkafyrirtækja. Ráðherrar þurfa að halda nákvæmt bókhald yfir samskipti sín við sérhagsmunahópa.,Simple,,,Early Modern,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/earlyModern/26.png,8,"High Progressivism, High law and order",High Privacy,,,,,3
55,,"
",Upplýsingaskylda um fjárhag: Ráðherrar,"Ráðherrar þurfa að veita upplýsingar um fjárhag sinn sem eru opnar almenningi. Þetta varðar tekjur, skuldir og eignir. Gera má sömu kröfu um upplýsingar um fjárhag fjölskyldumeðlima.",Simple,,,Futurist,Executive,0,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/future/2.png,8,"High Progressivism, High law and order",High Privacy,,,,,3
-1000001,,,Löggjafarvald,<em>Annað slagið er saklaus manneskja send á þing…</em><br>(Kin Hubbard),ModuleTypeCard,,,,Legislative/Parliamentary,1, , , ,,,,,,
56,Basic Organization of Parliament/ Legislature,Legislative/ Parliamentary Core Articles,Skipulag þings: Ein þingdeild,"Með þessu ákvæði er löggjafarsamkundan höfð í einni deild þar sem saman koma allir kjörnir fulltrúar, sem kosnir eru af íbúum héraða eða svæða – eða með hlutfallskosningu yfir allt landið. Þannig er léttara yfir starfi þingsins og þingmenn eru sýnilegir og virðast nálægt fólkinu.",Exclusive,"56,57",,Modern/Contemporary,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/16.png,20,"High Progressivism,Low Tradition,High Liberty,Bonus for Population < 10M","High Tradition,High Authority",Blocks Bicameral,,,,10
57,Basic Organization of Parliament/ Legislature,Legislative/ Parliamentary Core Articles,Skipulag þings: Tvær þingdeildir,Deildir þings eru tvær þar sem „lægri“ deild kann að virðast nær fólkinu og hinni lýðræðislegu umræðu en en „efri“ deild stendur fremur vörð um hefðbundið valdakerfi samfélagsins. Öll löggjöf þarf að fara í gegnum báðar deildir sem krefst eftirfylgni og jafnframt málamiðlana af hálfu ólíkra hagsmunahópa.,Exclusive,"56,57",,Modern/Contemporary,Legislative/Parliamentary,1,https://open-active-policy-public.s3-eu-west-1.amazonaws.com/newModules/modern/17.png,20,"High Tradition,Med Progressivism","High Progressivism,High Liberty",Blocks Unicameral,,,,10
